$	dollar[s] ドル記号(通貨単位)
enchilada	エンチラーダ(とうもろこしパンに肉をはさんで揚げたパイ;メキシコ料理)
encipher	〈通信文など〉‘を'暗号文にかえる
encircle	…‘を'『取り巻く』,取り囲む(surround) / …‘の'『周りを回る』,‘を'1周する
encirclement	〈U〉包囲;(外交的・戦略的)包囲政策 / 〈C〉1周
encl.	enclosed / enclosure
enclave	飛び領土,飛び地(ある国の領土・種族・文化に囲まれた他の国の領土・種族・文化)
enclose	(さく・壁などで)…‘を'『囲む』(surround)《+『名』+『with』(『by』)+『名』》 / (手紙などに)…‘を'『同封する』《+『名』+『with』(『in』)+『名』》
enclosure	〈U〉〈C〉包囲,囲うこと / 〈C〉囲われた所,囲い地,構内 / 囲うもの,へい,垣,さく / 〈C〉(手紙に)同封した物
encode	…‘を'暗号化する
encomium	大賛辞,大変なほめ言葉
encompass	(…で)…‘を'取り囲む;取り巻く(surround)《+『名』+『with』(『by』)+『名』》 / …‘を'包み込む,包含する(include)
encore	アンコール(againの意味で,音楽会などで演奏者に向かって再演を希望する叫び) / アンコールの叫び(要求) / (アンコールに応ずる)再演奏 / …‘に'再演を求める
encounter	…‘に'『偶然出会う』 / 〈敵兵・危険・困難など〉‘に'『遭遇する』 / (偶然の,特に敵意を含んだ)(…との)思いがけない出会い,遭遇《+『with』+『名』》 / 遭遇戦
encounter group	集団感受性訓練グループ
encourage	〈人〉‘を'『勇気づける』,励ます
encouragement	〈U〉激励,奨励 / 〈C〉励みになるもの,刺激
encouraging	『元気付ける』,励ましとなる,奨励する
encroach	(…に)侵入する,(…を)侵害する,侵食する《+『on』(『upon』)+『名』》
encroachment	(…への)侵入,侵害,侵食《+『on』(『upon』)+『名』》
encrust	〈堅い外皮・表面が〉…‘を'覆う / 《受動態で》(宝石などで)…‘を'ちりばめる《+『名』+『with』+『名』》
encrustation	(堅い外皮や表面で)覆うこと;覆われている状態 / (宝石・貴金属を)ちりばめること
encumber	《しばしば受動態で》(…で)〈人〉‘の'動きを妨げる,‘を'身動きできなくする《+『名』+『with』+『名』》 / (じゃまな物で)〈場所〉‘を'ふさぐ《+『名』+『with』+『名』》
encumbrance	妨害,障害 / 厄介もの,重荷 / 不動産の負債(抵当権など)
ency.,encyc.	encyclopedia
encyclical	(ローマ教皇が世界の全司教に与える)回勅
encyclopedia,encyclopaedia	百科事典
encyclopedic	百科事典的な;博学の
encyclopedically,encyclopaedically	百科事典的に
encyst	…‘を'包嚢(ほうのう)に包む / 包嚢(ほうのう)に包まれる
end	(細いものの)『端』,先端《+『of』+『名』》 / (物語などの)『終り』,終結部《+『of』+『名』》 / (物事・期間の)『最後』《+『of』+『名』》;(…に)結末をつけるもの《+『to』+『名』》 / (…の)端の部分,末端部《『of』+『名』》 / 《しばしば複数形で》『目的』(purpose),目標(aim) / 《遠回しに》死,滅亡 / 《しばしば複数形で》切れ端,くず,残りもの / (事業などの)部門(part) / (フットボールで)エンド(前衛両端の選手または位置) / …‘を'『終わらせる』,終える / 〈物事が〉…‘の'終りとなる,‘を'締めくくる / 『終わる』,終了する(come to an end)
end man	エンドマン(演芸で楽団のすみにいて中央の司会者と掛け合いを演ずる人)
end organ	(神経などの)末端器官
end product	(産業の)最終製品;(ある過程の)最終結果
end run	エンドラン(アメリカンフットボールでボールを持った選手が防御陣のエンドの側面を突くプレー)
end table	わきテーブル(通例ソファーの端に置かれる小さなテーブル)
endanger	〈生命・富・健康・計画など〉‘を'危うくする,危険にさらす
endangered	危険にさらされた / (動・植物が)絶滅寸前の
endear	(…に)〈人・自分〉‘を'愛されるようにする,慕わせる《+『名』+『to』+『名』》
endearing	いとしいと思わせるような,かわいい
endearingly	かわいらしく,心を引きつけるように
endearment	愛情の表現
endeavor,endeavour	(…しようと)『努力する』 / 『努力』(effort)
endemic	(特に病気が)ある地方(住民)に特有の,風土性の;(ある地方・住民に)特有の《+『to』+『名』》 / 風土病,地方病
endgame	(チェスの)終盤,詰め
ending	終り,終了;(物語・映画などの)結末 / (文の)語尾
endive	キクヂシャ;チコリ(サラダに用いる)
endless	『無限の』,果てしのない / 絶え間のない,ひっきりなしの / (端と端がつながって)輪になっている
endmost	いちばん端の
endocrine	内分泌(ぶんぴつ)の / 内分泌物;内分泌腺(せん)
endocrine gland	内分泌腺
endocrinology	内分泌学
endogenous	(生物が)内部から成長する,内性の,内因性の
endorse	〈小切手・手形・証書など〉‘に'裏書きをする / 〈意見・提案など〉‘を'支持する,是認する,保証する
endorsement	裏書き / 是認,承認,保証
endoscope	内視鏡(内臓や内腔器官を検査する器具)
endothermic	(化学反応が)吸熱性の,吸熱反応の
endow	〈学校など〉‘に'『寄付する』,基金を贈る / 《しばしば受動態で》(優れた能力・才能などを)〈人〉‘に'『与える』,授ける《+『名』+『with』+『名』》
endowment	〈C〉(大学や教会などに寄付された)基金,財産;〈U〉(基金の)寄付,寄贈 / 〈C〉《しばしば複数形で》(天から与えられた)才能,資質
endowment policy	養老年金特約保険
endue	〈人〉‘に'(資質・才能などを)与える,授ける《+『名』〈人〉+『with』(『in』)+『名』》
endurable	耐えられる,がまんできる
endurably	耐えられるように,がまんできるほどに
endurance	『忍耐』,がまん / 耐久力,持久力,持続
endurance test	持久力(耐久力)テスト
endure	…‘に'『耐える』,‘を'持ちこたえる / 《しばしば否定文で》…‘を'『がまんする』,忍ぶ,大目に見る / 《文》持ちこたえる,長く続く〈last〉 / 耐え忍ぶ
enduring	がまん強い(patient) / 不朽の,永続する
enduro	長距離オートバイレース(通常24時間で最長距離を争う)
endways	端を前(上)にして / 縦に / 端を接して
endwise	=endways
ENE	east-northeast
enema	かん腸;〈C〉かん腸剤(器)
enemy	『敵』 / 《the~》《集合的に;《米》では単数扱い,《英》では単数・複数扱い》『敵兵』,敵軍;敵国 / (…を)害するもの,(…の)敵《+『to』(『of』)+『名』》 / 敵の,敵国の
energetic	『精力的な』,元気旺盛な
energetically	精力的に,元気旺盛に
energize,energise	…‘に'精力(エネルギー)を与える
energy	(一般的な力としての)『精力』,気力,元気 / (個人の)精力,活動力 / エネルギー
enervate	…‘を'気力(体力)を奪う
enervating	気力(体力)をなくさせる
enervation	元気をなくすこと,無気力,衰弱
enfant terrible	恐るべき子供(人) / (思慮がなく)手に負えない人
enfeeble	〈体・気力など〉‘を'弱める,弱らせる
enfeeblement	衰弱;弱くする(なる)こと
enfilade	縦射 / …‘に'縦射をあびせる
enfold	(…で)…‘を'くるむ,包む《+『名』+『with』+『名』》,(…に)…‘を'包む《+『名』+『in』+『名』》 / …‘を'抱く,抱きしめる / …‘を'畳む
enforce	〈法律など〉‘を'『実施する』,施行する / (…に)…‘を'『強要する』,強いる《+『名』+『on』(『upon』)+『名』》 / 〈意見など〉‘を'強化する,強調する
enforceable	実施できる / 強制できる
enforcement	(法律などの)実施,施行 / 強制,強要
enfranchise	…‘に'参政権(選挙権,自治権)を与える / 〈奴隷(どれい)など〉‘を'解放する,自由にする
enfranchisement	選挙権(公民権,自治権)の賦与 / 解放,釈放
eng.	engine / engineer / engineering / engraved
Eng.	England / English
engage	…‘を'『雇う』;(…として)…‘を'雇う《+『名』+『as』+『名』》;〈技術・労力など〉‘を'買う / …‘を'予約する / 〈注意,関心〉‘を'引きつける / 〈事が〉〈時間・労力〉‘を'『占める』,使う(occupy) / (…に)〈自分〉‘を'専念(没頭)させる,従事させる《+one『self in』+『名』(do『ing』)》 / 〈自分〉‘に'請け合う,約束する;〈物事〉‘を'請け合う / …‘と'交戦状態にはいる / 〈歯車など〉‘を'かみ合わせる / (…に)『従事する』,たずさわる,参加する《+『in』+『名』》 / 交戦する / 〈歯車などが〉かみ合う,(…と)かみ合う《+『with』+『名』》 / (特に左翼の政治問題に対して)積極的な関心を持つ
engaged	《補語にのみ用いて》(…に)忙しい《+『in』(『on』)+『名』(do『ing』)》 / 《補語にのみ用いて》《英》(電話などが)話し中の,ふさがっている(《米》busy) / 《補語にのみ用いて》約束済みの / 婚約中の / 交戦中の / (歯車が)かみ合った
engagement	〈C〉『約束』,契約,取り決め;(会合などの)約束,予約《+『for』+『名』》;(人との)約束《+『with』+『名』》 / 〈C〉『婚約』;婚約期間 / 〈C〉雇用;雇用期間 / 〈C〉会戦,交戦 / 《複数形で》債務,負債 / 〈U〉〈C〉(歯車などの)かみ合わせ
engaging	人を引き付ける,魅力のある
engender	〈ある感情・状態など〉‘を'生じさせる,引き起こす
engine	『エンジン』,発動機,機関 / 『機関車』(locomotive) / 消防ポンプ(fire engine) / 《古》(一般に)機械装置
engine driver	=engineer
engineer	『技師』,技術家 / 《米》(特に鉄道の)『機関士』 / 巧みに事を処理する人,手腕家 / (陸軍の)工兵;(海軍の)機関士官 / (技師として)…‘を'設計する,建設する / …‘を'巧みに処理する,工作する
engineering	『工学』 / 土木工事
England	『イングランド』(Great Britain島からScotlandとWalesを除いた部分;首都London) / 『英国』,イギリス本国
English	〈U〉《通例冠詞をつけないで》『英語』 / 《the~》《集合的に》《複数扱い》『イギリス人』,イングランド人,英国民[全体] / 英語の先生 / 『イギリスの』,英国の,イングランドの;『イギリス人の』,英国人の / 『英語の』
English breakfast	英国ふう朝食(ベーコンエッグとマーマレードつきトースト)
English Channel	イギリス海峡(英仏の間にある海峡)
English horn	イングリッシュホルン(オーボエに似た木管楽器;《英》cor anglais)
English muffin	円形の軽焼きパン;熱いうちにバターをつけて食べる(《英》muffin)
English setter	イングリッシュセッター(白い毛のまじった黒か茶の中型の猟犬)
English-speaking	英語を話す
Englishman	『イギリス人』,英国人,イングランド人
Englishwoman	『イギリス婦人』,英国婦人,イングランド婦人
engr.	engineer / engraved / engraving
engraft	(他の木に)…‘を'接ぎ木する《+『名』+『on』(『upon』)+『名』》 / (人の心などに)〈主義・考えなど〉‘を'しっかりと植え付ける《+『名』+『in』+『名』》
engram	エングラム(経験によって生ずる神経系細胞内の構造別化) / (記憶の)痕跡,印象
engrave	〈石・木・金属板など〉‘に'文字(絵など)を刻む,調る;(文字・絵などを)…‘に'刻む《+『名』+『with』+『名』》 / (物の表面に)〈文字・絵など〉‘を'刻る《+『名』+『on』+『名』》 / …‘を'文字(絵など)を彫った金属板(版木など)で印刷する / (人,人の心に)…‘を'深く印象づける《+『名』+『in』(『on』)+『名』》
engraver	彫刻師,彫版工,製版者
engraving	〈U〉彫刻,彫刻術(法) / 〈C〉版画,印画;(版画用の)金属版,版木
engross	〈人〉の注意をすっかり引き付ける,‘を'夢中にさせる(absorb) / 〈文書など〉‘を'はっきりした大きな字で書く
